id,Nama Restoran,Preferensi Makanan,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Variasi Makanan
201,"YOSHINOYA BEEF BOWL, Kaliurang Jogja",Japanese,64000,4.8,Formal,"Fast food, Japanese, Chicken & duck, Rice, Coffee"
202,"Melt Salad Fresh n Healthy Food, Sukun Raya",Western,19000,4.8,Santai,"Fast food, Sweets, Western"
203,"Nasi Bakar Lagi Dan Mendoan Jumbo ""Mbakayune"", Umbulharjo",Indonesia,20000,4.7,Santai,"Jajanan, Aneka nasi, Bakso & soto"
204,"Oriyamie, Kusumanegara",Indonesia,20000,3.7,Santai,"Jajanan, Bakso & soto, Bakmie"
205,"Ichiban Sushi, Plaza Malioboro",Japanese,52000,4.6,Formal,Japanese
206,"Banzai, Tegalrejo",Japanese,49000,4.8,Formal,"Japanese, Fast food, Rice"
207,"Nakdang, Banguntapan",Japanese,33000,4.6,Santai,"Japanese, Rice, Chicken & duck"
208,"Boga Kitchen, Selokan Yogya",Japanese,82000,4.6,Santai,"Japanese, Rice, Fast food, Chicken & duck"
209,"Por Aqui Resto & IRD, Prawirotaman",Western,33000,4.6,Santai,"Rice, Beverages, Western"
210,"Ayam Geprek Dan Katsu KALARASA, Umbulharjo",Japanese,18000,4.7,Santai,"Rice, Fast food, Japanese"
211,"Nasi Mangkok Uncle Dave, Depok/Caturtunggal/Seturan",Japanese,21000,4.6,Santai,"Rice, Fast food, Japanese"
212,"Ramen Kanbai, Babarsari",Japanese,27000,4.3,Santai,"Sweets, Japanese, Noodles"
213,"Boom Burger, Mergangsan",Western,37000,4.6,Santai,Western
214,"Burger Bros, Seturan",Western,40000,4.7,Santai,Western
215,"Monalisa Burger Sisingamangaraja, seberang BDS syariah",Western,33000,4.7,Santai,Western
216,"Choky Spaghetti Steak, Sugiyono",Western,24000,4.7,Santai,"Western, Rice"
217,"Steak Box, Gondokusuman, Kotabaru",Western,27000,4.5,Santai,"Western, Rice, Fast food"
218,"Ta Wan, Malioboro",Chinese,56000,4.7,Formal,"Aneka nasi, Ayam & bebek, Chinese"
219,"Yamie Panda, Lippo Mall Jogja",Chinese,28000,4.6,Santai,"Bakmie, Chinese"
220,"Yamie Panda, Tamansiswa",Chinese,28000,4.7,Santai,"Chinese, Bakmie"
221,Pondok Damai Mbah Tin,Chinese,23000,4.5,Santai,"Aneka nasi, Bakmie, Chinese"
222,"Mie Ayam Pancoran, Glagahsari",Indonesia,21000,3.9,Santai,"Bakmie, Bakso & soto"
223,"Mie Kita Orang, Pasar Kranggan Lantai 2",Chinese,20000,4.2,Santai,"Bakmie, Chinese"
224,"Bakso Cak Masrur, Timoho",Indonesia,43000,4.6,Santai,Bakso & soto
225,Mie Ayam Dan Bakso Urat Sari Roso Wonogiri,Indonesia,17000,4.7,Santai,Bakso & soto
226,Soto Daging Sapi Lamongan Cak Lim,Indonesia,22000,4.6,Santai,"Bakso & soto, Cepat saji, Aneka nasi"
227,"Etnik Kafe, Mergangsan",Chinese,23000,4.3,Santai,"Chinese, Aneka nasi, Ayam & bebek"
228,Bakso Bakar Sosis Bakar Depokan,Indonesia,22000,4.4,Santai,"Jajanan, Bakso & soto, Bakmie"
229,"HokBen, Malioboro Mall",Japanese,49000,4.7,Formal,Japanese
230,Silla Korean & Japanese Restaurant,Japanese,85000,4.8,Formal,"Japanese, Korean"
231,"Aqori Angkringan Jepang, Kuliner Lor Tugu",Japanese,23000,4.4,Santai,"Japanese, Snacks"
232,Bakso Urat dan Mie Ayam Krowal Krowel,Indonesia,15000,3.5,Santai,"Minuman, Bakso & soto, Bakmie"
233,Bubur Ayam Bang Opik,Chinese,18000,4.5,Santai,"Minuman, Cepat saji, Chinese"
234,"Sun Rice Bowl, Panggungharjo",Japanese,28000,4.7,Santai,"Rice, Chicken & duck, Japanese"
235,"Sate Kambing Pak Tomek, Ngentak",Indonesia,22000,4.5,Santai,"Sate, Aneka nasi, Bakso & soto"
236,"Seafood 99, Sorogenen",Chinese,32000,4.7,Santai,"Seafood, Aneka nasi, Chinese"
237,"Lawson Shop, Imogiri Barat",Japanese,44000,4.7,Formal,"Snacks, Beverages, Japanese, Coffee, Korean"
238,"Lawson Shop, Sorowajan",Japanese,44000,4.7,Formal,"Snacks, Beverages, Japanese, Coffee, Korean"
239,"Burgerax, Gedongkuning",Western,38000,4.5,Santai,"Snacks, Fast food, Western"
240,"Hawker's Steak, JEC",Western,28000,4.5,Formal,Western
241,"Pizza Aroma Italia 2, Gondokusuman",Western,107000,4.8,Formal,"Western, Pizza & pasta"
242,"Blengerr, Hayam Wuruk",Chinese,34000,4.7,Santai,"Aneka nasi, Ayam & bebek, Chinese"
243,"Nasi Goreng dan Chinese Food Abah, Prawirotaman",Chinese,22000,4.8,Santai,"Bakmie, Chinese, Aneka nasi"
244,Bakso Rahayu,Indonesia,14000,4.5,Santai,Bakso & soto
245,BAKSO URAT CAK EKA AREMA MALANG JATIM,Indonesia,16000,4.4,Santai,Bakso & soto
246,"Soto Sapi Winong, Ngeksigondo",Indonesia,25000,4.9,Santai,Bakso & soto
247,"Mr. Teto Sate & Soto, Perintis Kemerdekaan",Indonesia,27000,4.8,Santai,"Bakso & soto, Sate"
